19 19 20
0 0 0 grass
0 1 0 grass
0 2 0 grass
0 3 0 grass
0 4 0 grass
0 5 0 grass
0 6 0 grass
0 7 0 grass
0 8 0 grass
0 9 0 grass
0 10 0 grass
0 11 0 grass
0 12 0 grass
0 13 0 grass
0 14 0 grass
0 15 0 grass
0 16 0 grass
0 17 0 grass
0 18 0 grass
1 0 0 grass
1 1 0 grass
1 2 0 grass
1 3 0 grass
1 4 0 grass
1 5 0 grass
1 6 0 grass
1 7 0 grass
1 8 0 grass
1 9 0 grass
1 10 0 grass
1 11 0 grass
1 12 0 grass
1 13 0 grass
1 14 0 grass
1 15 0 grass
1 16 0 grass
1 17 0 grass
1 18 0 grass
2 0 0 grass
2 1 0 grass
2 2 0 grass
2 3 0 grass
2 4 0 grass
2 5 0 grass
2 6 0 grass
2 7 0 grass
2 8 0 grass
2 9 0 grass
2 10 0 grass
2 11 0 grass
2 12 0 grass
2 13 0 grass
2 14 0 grass
2 15 0 grass
2 16 0 grass
2 17 0 grass
2 18 0 grass
3 0 0 grass
3 1 0 grass
3 2 0 grass
3 3 0 grass
3 4 0 grass
3 5 0 grass
3 6 0 grass
3 7 0 grass
3 8 0 grass
3 9 0 grass
3 10 0 grass
3 11 0 grass
3 12 0 grass
3 13 0 grass
3 14 0 grass
3 15 0 grass
3 16 0 grass
3 17 0 grass
3 18 0 grass
4 0 0 grass
4 1 0 grass
4 2 0 grass
4 3 0 grass
4 4 0 grass
4 5 0 grass
4 6 0 grass
4 7 0 grass
4 8 0 grass
4 9 0 grass
4 10 0 grass
4 11 0 grass
4 12 0 grass
4 13 0 grass
4 14 0 grass
4 15 0 grass
4 16 0 grass
4 17 0 grass
4 18 0 grass
5 0 0 grass
5 1 0 grass
5 2 0 grass
5 3 0 grass
5 4 0 grass
5 5 0 grass
5 6 0 grass
5 7 0 grass
5 8 0 grass
5 9 0 grass
5 10 0 grass
5 11 0 grass
5 12 0 grass
5 13 0 grass
5 14 0 grass
5 15 0 grass
5 16 0 grass
5 17 0 grass
5 18 0 grass
6 0 0 grass
6 1 0 grass
6 2 0 grass
6 3 0 grass
6 4 0 grass
6 5 0 grass
6 6 0 Dirt
6 7 0 grass
6 8 0 grass
6 9 0 grass
6 10 0 grass
6 11 0 grass
6 12 0 grass
6 13 0 grass
6 14 0 grass
6 15 0 grass
6 16 0 grass
6 17 0 grass
6 18 0 grass
7 0 0 grass
7 1 0 grass
7 2 0 grass
7 3 0 grass
7 4 0 grass
7 5 0 grass
7 6 0 grass
7 7 0 grass
7 8 0 grass
7 9 0 grass
7 10 0 grass
7 11 0 grass
7 12 0 grass
7 13 0 grass
7 14 0 grass
7 15 0 grass
7 16 0 grass
7 17 0 grass
7 18 0 grass
8 0 0 grass
8 1 0 grass
8 2 0 grass
8 3 0 grass
8 4 0 grass
8 5 0 grass
8 6 0 grass
8 7 0 grass
8 8 0 grass
8 9 0 grass
8 10 0 grass
8 11 0 grass
8 12 0 grass
8 13 0 grass
8 14 0 grass
8 15 0 grass
8 16 0 grass
8 17 0 grass
8 18 0 grass
9 0 0 grass
9 1 0 grass
9 2 0 grass
9 3 0 grass
9 4 0 grass
9 5 0 grass
9 6 0 grass
9 7 0 grass
9 8 0 grass
9 9 0 grass
9 10 0 grass
9 11 0 grass
9 12 0 grass
9 13 0 grass
9 14 0 grass
9 15 0 grass
9 16 0 grass
9 17 0 grass
9 18 0 grass
10 0 0 grass
10 1 0 grass
10 2 0 grass
10 3 0 grass
10 4 0 grass
10 5 0 grass
10 6 0 grass
10 7 0 grass
10 8 0 grass
