10 10 20
0 0 0 grass
0 1 0 grass
0 2 0 grass
0 3 0 grass
0 4 0 grass
0 5 0 grass
0 6 0 grass
0 7 0 grass
0 8 0 grass
0 9 0 grass
1 0 0 grass
1 1 0 grass
1 2 0 grass
1 3 0 grass
1 4 0 grass
1 5 0 grass
1 6 0 grass
1 7 0 grass
1 8 0 grass
1 9 0 grass
2 0 0 grass
2 1 0 grass
2 2 0 grass
2 3 0 grass
2 4 0 grass
2 5 0 grass
2 6 0 grass
2 7 0 grass
2 8 0 grass
2 9 0 grass
3 0 0 grass
3 1 0 grass
3 2 0 grass
3 3 0 grass
3 4 0 grass
3 5 0 grass
3 6 0 grass
3 7 0 grass
3 8 0 grass
3 9 0 grass
4 0 0 grass
4 1 0 grass
4 2 0 grass
4 3 0 grass
4 4 0 grass
4 5 0 grass
4 6 0 grass
4 7 0 grass
4 8 0 grass
4 9 0 grass
5 0 0 grass
5 1 0 grass
5 2 0 grass
5 3 0 grass
5 4 0 grass
5 5 0 grass
5 6 0 grass
5 7 0 grass
5 8 0 grass
5 9 0 grass
6 0 0 grass
6 1 0 grass
6 2 0 grass
6 3 0 grass
6 4 0 grass
6 5 0 grass
6 6 0 grass
6 7 0 grass
6 8 0 grass
6 9 0 grass
7 0 0 grass
7 1 0 grass
7 2 0 grass
7 3 0 grass
7 4 0 grass
7 5 0 grass
7 6 0 grass
7 7 0 grass
7 8 0 grass
7 9 0 grass
8 0 0 grass
8 1 0 grass
8 2 0 grass
8 3 0 grass
8 4 0 grass
8 5 0 grass
8 6 0 grass
8 7 0 grass
8 8 bluecastle Dirt
8 9 0 grass
9 0 0 grass
9 1 0 grass
9 2 0 grass
9 3 0 grass
9 4 0 grass
9 5 0 grass
9 6 0 grass
9 7 0 grass
9 8 0 grass
9 9 0 grass
